assignee,completion_date,estimated_completion_date,task_priority,sub_task,remain_sub_task_level,actual_duration,start_date,total_assign_task
Frank,2025-04-08 16:45:13.450216,2025-04-07 16:45:13.450216,very high,2 pending subtasks,low,3,2025-04-05 16:45:13.450216,1
Eve,2025-05-18 16:45:13.450216,2025-05-18 16:45:13.450216,very high,4 pending subtasks,very high,13,2025-05-05 16:45:13.450216,10
Charlie,2025-05-18 16:45:13.450216,2025-05-17 16:45:13.450216,low,5 pending subtasks,high,6,2025-05-12 16:45:13.450216,8
Heidi,2025-03-23 16:45:13.450216,2025-03-23 16:45:13.450216,medium,4 pending subtasks,medium,1,2025-03-22 16:45:13.450216,16
Heidi,2025-05-15 16:45:13.450216,2025-05-13 16:45:13.450216,medium,2 pending subtasks,low,9,2025-05-06 16:45:13.450216,18
Heidi,2025-04-02 16:45:13.450216,2025-04-01 16:45:13.450216,very high,5 pending subtasks,very low,4,2025-03-29 16:45:13.450216,2
Bob,2025-04-13 16:45:13.450216,2025-04-14 16:45:13.450216,very low,4 pending subtasks,very low,6,2025-04-07 16:45:13.450216,5
David,2025-03-17 16:45:13.450216,2025-03-16 16:45:13.450216,low,2 pending subtasks,very low,3,2025-03-14 16:45:13.450216,17
Heidi,2025-04-05 16:45:13.450216,2025-04-04 16:45:13.450216,very high,4 pending subtasks,very high,6,2025-03-30 16:45:13.450216,16
Alice,2025-04-15 16:45:13.450216,2025-04-12 16:45:13.450216,very high,1 pending subtasks,high,11,2025-04-04 16:45:13.450216,1
Eve,2025-05-13 16:45:13.450216,2025-05-13 16:45:13.450216,medium,5 pending subtasks,very low,10,2025-05-03 16:45:13.450216,14
Charlie,2025-05-01 16:45:13.450216,2025-04-29 16:45:13.450216,very low,2 pending subtasks,very high,7,2025-04-24 16:45:13.450216,8
David,2025-05-23 16:45:13.450216,2025-05-23 16:45:13.450216,medium,3 pending subtasks,medium,13,2025-05-10 16:45:13.450216,13
Bob,2025-05-02 16:45:13.450216,2025-05-01 16:45:13.450216,high,5 pending subtasks,high,2,2025-04-30 16:45:13.450216,8
David,2025-04-29 16:45:13.450216,2025-04-27 16:45:13.450216,very low,1 pending subtasks,very low,14,2025-04-15 16:45:13.450216,13
Grace,2025-03-20 16:45:13.450216,2025-03-19 16:45:13.450216,high,1 pending subtasks,very low,4,2025-03-16 16:45:13.450216,6
Bob,2025-04-23 16:45:13.451216,2025-04-22 16:45:13.451216,high,5 pending subtasks,medium,8,2025-04-15 16:45:13.451216,4
Alice,2025-04-09 16:45:13.451216,2025-04-08 16:45:13.451216,very high,3 pending subtasks,high,7,2025-04-02 16:45:13.451216,2
Bob,2025-05-15 16:45:13.451216,2025-05-15 16:45:13.451216,medium,5 pending subtasks,very high,3,2025-05-12 16:45:13.451216,2
Charlie,2025-05-12 16:45:13.451216,2025-05-14 16:45:13.451216,medium,2 pending subtasks,very low,12,2025-04-30 16:45:13.451216,19
Charlie,2025-03-29 16:45:13.451216,2025-03-30 16:45:13.451216,high,3 pending subtasks,very low,12,2025-03-17 16:45:13.451216,6
David,2025-04-03 16:45:13.451216,2025-04-03 16:45:13.451216,high,3 pending subtasks,very high,9,2025-03-25 16:45:13.451216,13
Charlie,2025-03-19 16:45:13.451216,2025-03-19 16:45:13.451216,very low,3 pending subtasks,very high,1,2025-03-18 16:45:13.451216,2
Bob,2025-04-10 16:45:13.451216,2025-04-09 16:45:13.451216,very low,5 pending subtasks,medium,5,2025-04-05 16:45:13.451216,20
Grace,2025-05-17 16:45:13.451216,2025-05-18 16:45:13.451216,medium,3 pending subtasks,very low,10,2025-05-07 16:45:13.451216,15
Heidi,2025-04-12 16:45:13.451216,2025-04-10 16:45:13.451216,very high,4 pending subtasks,high,13,2025-03-30 16:45:13.451216,6
Grace,2025-04-24 16:45:13.451216,2025-04-21 16:45:13.451216,very high,2 pending subtasks,medium,13,2025-04-11 16:45:13.451216,3
Bob,2025-04-01 16:45:13.451216,2025-03-31 16:45:13.451216,high,4 pending subtasks,low,5,2025-03-27 16:45:13.451216,11
Frank,2025-05-03 16:45:13.451216,2025-05-02 16:45:13.451216,very low,4 pending subtasks,medium,6,2025-04-27 16:45:13.451216,12
Eve,2025-05-03 16:45:13.451216,2025-05-01 16:45:13.451216,very low,4 pending subtasks,low,11,2025-04-22 16:45:13.451216,15
Grace,2025-03-19 16:45:13.451216,2025-03-18 16:45:13.451216,very low,5 pending subtasks,medium,5,2025-03-14 16:45:13.451216,3
Frank,2025-04-10 16:45:13.451216,2025-04-10 16:45:13.451216,very low,4 pending subtasks,medium,3,2025-04-07 16:45:13.451216,13
Bob,2025-04-28 16:45:13.451216,2025-04-28 16:45:13.451216,very high,5 pending subtasks,low,4,2025-04-24 16:45:13.451216,17
Charlie,2025-03-19 16:45:13.451216,2025-03-19 16:45:13.451216,low,3 pending subtasks,low,2,2025-03-17 16:45:13.451216,10
Eve,2025-04-05 16:45:13.451216,2025-04-04 16:45:13.451216,very low,4 pending subtasks,low,9,2025-03-27 16:45:13.451216,9
Grace,2025-04-08 16:45:13.451216,2025-04-06 16:45:13.451216,very low,3 pending subtasks,medium,14,2025-03-25 16:45:13.451216,8
Heidi,2025-04-29 16:45:13.451216,2025-04-29 16:45:13.451216,low,1 pending subtasks,high,1,2025-04-28 16:45:13.451216,5
Eve,2025-03-27 16:45:13.451216,2025-03-25 16:45:13.451216,high,5 pending subtasks,medium,6,2025-03-21 16:45:13.451216,13
Frank,2025-03-23 16:45:13.451216,2025-03-22 16:45:13.451216,high,2 pending subtasks,very high,3,2025-03-20 16:45:13.451216,10
Frank,2025-05-04 16:45:13.451216,2025-05-04 16:45:13.451216,low,3 pending subtasks,high,7,2025-04-27 16:45:13.451216,6
Grace,2025-03-28 16:45:13.451216,2025-03-30 16:45:13.451216,medium,5 pending subtasks,high,11,2025-03-17 16:45:13.451216,8
Frank,2025-05-11 16:45:13.451216,2025-05-10 16:45:13.451216,high,1 pending subtasks,medium,10,2025-05-01 16:45:13.451216,19
David,2025-04-19 16:45:13.451216,2025-04-19 16:45:13.451216,very high,5 pending subtasks,low,8,2025-04-11 16:45:13.451216,1
Heidi,2025-04-17 16:45:13.451216,2025-04-19 16:45:13.451216,low,3 pending subtasks,high,12,2025-04-05 16:45:13.451216,3
Grace,2025-05-01 16:45:13.451216,2025-05-01 16:45:13.451216,low,2 pending subtasks,medium,12,2025-04-19 16:45:13.451216,9
Charlie,2025-03-29 16:45:13.451216,2025-03-29 16:45:13.451216,high,4 pending subtasks,very low,8,2025-03-21 16:45:13.451216,20
Heidi,2025-03-28 16:45:13.451216,2025-03-28 16:45:13.451216,very high,4 pending subtasks,very high,12,2025-03-16 16:45:13.451216,18
Alice,2025-04-17 16:45:13.451216,2025-04-18 16:45:13.451216,medium,5 pending subtasks,very high,10,2025-04-07 16:45:13.451216,3
Bob,2025-05-15 16:45:13.451216,2025-05-16 16:45:13.451216,medium,5 pending subtasks,low,10,2025-05-05 16:45:13.451216,2
Grace,2025-03-16 16:45:13.451216,2025-03-16 16:45:13.451216,medium,1 pending subtasks,high,2,2025-03-14 16:45:13.451216,1
Bob,2025-04-27 16:45:13.451216,2025-04-25 16:45:13.451216,very high,5 pending subtasks,very high,12,2025-04-15 16:45:13.451216,19
David,2025-04-15 16:45:13.451216,2025-04-14 16:45:13.451216,high,5 pending subtasks,high,9,2025-04-06 16:45:13.451216,17
Charlie,2025-04-18 16:45:13.451216,2025-04-17 16:45:13.451216,very low,1 pending subtasks,high,11,2025-04-07 16:45:13.451216,10
Grace,2025-03-21 16:45:13.452214,2025-03-21 16:45:13.452214,very low,2 pending subtasks,very low,1,2025-03-20 16:45:13.452214,12
Eve,2025-05-05 16:45:13.452214,2025-05-04 16:45:13.452214,low,4 pending subtasks,very high,1,2025-05-04 16:45:13.452214,12
Heidi,2025-03-25 16:45:13.452214,2025-03-24 16:45:13.452214,high,1 pending subtasks,medium,4,2025-03-21 16:45:13.452214,10
Alice,2025-05-12 16:45:13.452214,2025-05-13 16:45:13.452214,very low,3 pending subtasks,very low,12,2025-04-30 16:45:13.452214,4
Charlie,2025-04-08 16:45:13.452214,2025-04-10 16:45:13.452214,low,2 pending subtasks,very high,13,2025-03-26 16:45:13.452214,18
Charlie,2025-05-14 16:45:13.452214,2025-05-13 16:45:13.452214,high,2 pending subtasks,high,14,2025-04-30 16:45:13.452214,13
Charlie,2025-04-21 16:45:13.452214,2025-04-19 16:45:13.452214,high,1 pending subtasks,high,13,2025-04-08 16:45:13.452214,20
David,2025-05-09 16:45:13.452214,2025-05-08 16:45:13.452214,high,1 pending subtasks,high,2,2025-05-07 16:45:13.452214,7
David,2025-03-28 16:45:13.452214,2025-03-27 16:45:13.452214,very low,1 pending subtasks,very high,5,2025-03-23 16:45:13.452214,18
Charlie,2025-04-05 16:45:13.452214,2025-04-04 16:45:13.452214,low,1 pending subtasks,high,9,2025-03-27 16:45:13.452214,9
Heidi,2025-05-21 16:45:13.452214,2025-05-21 16:45:13.452214,medium,4 pending subtasks,very high,10,2025-05-11 16:45:13.452214,20
Grace,2025-04-01 16:45:13.452214,2025-04-01 16:45:13.452214,medium,4 pending subtasks,medium,14,2025-03-18 16:45:13.452214,20
Charlie,2025-04-04 16:45:13.452214,2025-04-05 16:45:13.452214,medium,5 pending subtasks,very high,11,2025-03-24 16:45:13.452214,3
Charlie,2025-04-03 16:45:13.452214,2025-04-02 16:45:13.452214,low,1 pending subtasks,medium,5,2025-03-29 16:45:13.452214,6
Frank,2025-03-27 16:45:13.452214,2025-03-27 16:45:13.452214,very high,4 pending subtasks,high,8,2025-03-19 16:45:13.452214,20
Charlie,2025-04-16 16:45:13.452214,2025-04-16 16:45:13.452214,high,4 pending subtasks,low,6,2025-04-10 16:45:13.452214,18
Charlie,2025-05-14 16:45:13.452214,2025-05-14 16:45:13.452214,high,2 pending subtasks,medium,2,2025-05-12 16:45:13.452214,6
Frank,2025-04-12 16:45:13.452214,2025-04-12 16:45:13.452214,very high,3 pending subtasks,very low,1,2025-04-11 16:45:13.452214,1
Heidi,2025-05-07 16:45:13.452214,2025-05-06 16:45:13.452214,high,5 pending subtasks,very high,5,2025-05-02 16:45:13.452214,16
Grace,2025-04-26 16:45:13.452214,2025-04-26 16:45:13.452214,high,4 pending subtasks,high,9,2025-04-17 16:45:13.452214,6
Bob,2025-05-02 16:45:13.452214,2025-05-02 16:45:13.452214,low,1 pending subtasks,medium,11,2025-04-21 16:45:13.452214,9
David,2025-04-17 16:45:13.452214,2025-04-17 16:45:13.452214,low,5 pending subtasks,high,1,2025-04-16 16:45:13.452214,16
Bob,2025-05-01 16:45:13.452214,2025-05-01 16:45:13.452214,medium,3 pending subtasks,very high,1,2025-04-30 16:45:13.452214,18
Alice,2025-04-18 16:45:13.452214,2025-04-18 16:45:13.452214,high,2 pending subtasks,very high,9,2025-04-09 16:45:13.452214,14
Bob,2025-04-09 16:45:13.452214,2025-04-09 16:45:13.452214,low,1 pending subtasks,medium,1,2025-04-08 16:45:13.452214,15
Eve,2025-04-29 16:45:13.452214,2025-04-28 16:45:13.452214,very low,1 pending subtasks,high,7,2025-04-22 16:45:13.452214,8
David,2025-05-19 16:45:13.452214,2025-05-20 16:45:13.452214,very high,5 pending subtasks,medium,12,2025-05-07 16:45:13.452214,14
Charlie,2025-05-01 16:45:13.452214,2025-05-01 16:45:13.452214,low,1 pending subtasks,low,5,2025-04-26 16:45:13.452214,19
Frank,2025-04-17 16:45:13.452214,2025-04-17 16:45:13.452214,very high,2 pending subtasks,very high,5,2025-04-12 16:45:13.452214,11
Eve,2025-04-08 16:45:13.452214,2025-04-07 16:45:13.452214,medium,1 pending subtasks,very high,3,2025-04-05 16:45:13.452214,5
Grace,2025-03-28 16:45:13.452214,2025-03-29 16:45:13.452214,medium,2 pending subtasks,low,7,2025-03-21 16:45:13.452214,8
Charlie,2025-04-11 16:45:13.452214,2025-04-11 16:45:13.452214,low,4 pending subtasks,high,5,2025-04-06 16:45:13.452214,5
Eve,2025-04-16 16:45:13.452214,2025-04-16 16:45:13.452214,high,1 pending subtasks,high,10,2025-04-06 16:45:13.452214,3
Grace,2025-05-06 16:45:13.452214,2025-05-06 16:45:13.452214,medium,4 pending subtasks,medium,3,2025-05-03 16:45:13.452214,16
Frank,2025-05-01 16:45:13.452214,2025-05-01 16:45:13.452214,very low,3 pending subtasks,high,5,2025-04-26 16:45:13.452214,3
Grace,2025-05-08 16:45:13.452214,2025-05-06 16:45:13.452214,high,4 pending subtasks,low,9,2025-04-29 16:45:13.452214,9
Frank,2025-03-29 16:45:13.452214,2025-03-29 16:45:13.452214,medium,5 pending subtasks,very high,1,2025-03-28 16:45:13.452214,5
Heidi,2025-04-05 16:45:13.452214,2025-04-06 16:45:13.452214,very low,1 pending subtasks,very low,13,2025-03-23 16:45:13.452214,15
Alice,2025-05-04 16:45:13.453215,2025-05-03 16:45:13.453215,low,4 pending subtasks,high,4,2025-04-30 16:45:13.453215,1
Grace,2025-05-13 16:45:13.453215,2025-05-12 16:45:13.453215,low,2 pending subtasks,medium,1,2025-05-12 16:45:13.453215,9
Bob,2025-04-05 16:45:13.453215,2025-04-05 16:45:13.453215,medium,3 pending subtasks,very low,2,2025-04-03 16:45:13.453215,6
Alice,2025-04-23 16:45:13.453215,2025-04-22 16:45:13.453215,medium,4 pending subtasks,low,8,2025-04-15 16:45:13.453215,3
Bob,2025-04-14 16:45:13.453215,2025-04-12 16:45:13.453215,high,2 pending subtasks,very low,10,2025-04-04 16:45:13.453215,19
David,2025-03-18 16:45:13.453215,2025-03-18 16:45:13.453215,high,1 pending subtasks,very low,2,2025-03-16 16:45:13.453215,11
Bob,2025-03-26 16:45:13.453215,2025-03-27 16:45:13.453215,high,4 pending subtasks,low,6,2025-03-20 16:45:13.453215,3
David,2025-05-21 16:45:13.453215,2025-05-20 16:45:13.453215,very low,3 pending subtasks,very low,11,2025-05-10 16:45:13.453215,12
Eve,2025-04-05 16:45:13.453215,2025-04-03 16:45:13.453215,low,1 pending subtasks,low,12,2025-03-24 16:45:13.453215,17
Alice,2025-05-18 16:45:13.453215,2025-05-18 16:45:13.453215,low,3 pending subtasks,high,6,2025-05-12 16:45:13.453215,7
Charlie,2025-04-04 16:45:13.453215,2025-04-04 16:45:13.453215,very high,2 pending subtasks,high,5,2025-03-30 16:45:13.453215,3
Bob,2025-04-27 16:45:13.453215,2025-04-24 16:45:13.453215,very low,4 pending subtasks,very high,14,2025-04-13 16:45:13.453215,12
Grace,2025-03-24 16:45:13.453215,2025-03-23 16:45:13.453215,low,3 pending subtasks,low,9,2025-03-15 16:45:13.453215,3
David,2025-05-03 16:45:13.453215,2025-05-03 16:45:13.453215,very high,3 pending subtasks,very high,7,2025-04-26 16:45:13.453215,1
Eve,2025-05-03 16:45:13.453215,2025-05-02 16:45:13.453215,very high,2 pending subtasks,very high,5,2025-04-28 16:45:13.453215,13
Eve,2025-05-06 16:45:13.453215,2025-05-06 16:45:13.453215,low,4 pending subtasks,high,14,2025-04-22 16:45:13.453215,4
David,2025-05-22 16:45:13.453215,2025-05-21 16:45:13.453215,very high,5 pending subtasks,very low,11,2025-05-11 16:45:13.453215,1
Frank,2025-03-30 16:45:13.453215,2025-03-31 16:45:13.453215,low,5 pending subtasks,high,7,2025-03-23 16:45:13.453215,14
Frank,2025-04-17 16:45:13.453215,2025-04-17 16:45:13.453215,low,1 pending subtasks,high,12,2025-04-05 16:45:13.453215,1
Bob,2025-04-15 16:45:13.453215,2025-04-13 16:45:13.453215,low,1 pending subtasks,very low,6,2025-04-09 16:45:13.453215,13
Eve,2025-03-26 16:45:13.453215,2025-03-26 16:45:13.453215,very high,4 pending subtasks,high,2,2025-03-24 16:45:13.453215,13
Bob,2025-05-09 16:45:13.453215,2025-05-09 16:45:13.453215,very high,2 pending subtasks,very high,14,2025-04-25 16:45:13.453215,9
Bob,2025-05-09 16:45:13.453215,2025-05-08 16:45:13.453215,very high,2 pending subtasks,low,11,2025-04-28 16:45:13.453215,18
Frank,2025-03-25 16:45:13.453215,2025-03-24 16:45:13.453215,very low,4 pending subtasks,medium,2,2025-03-23 16:45:13.453215,8
Alice,2025-03-31 16:45:13.453215,2025-03-30 16:45:13.453215,high,4 pending subtasks,very low,9,2025-03-22 16:45:13.453215,20
Alice,2025-04-06 16:45:13.453215,2025-04-05 16:45:13.453215,low,1 pending subtasks,very low,1,2025-04-05 16:45:13.453215,5
Alice,2025-05-01 16:45:13.453215,2025-04-29 16:45:13.453215,medium,5 pending subtasks,very high,12,2025-04-19 16:45:13.453215,9
Charlie,2025-04-20 16:45:13.453215,2025-04-19 16:45:13.453215,medium,1 pending subtasks,very low,7,2025-04-13 16:45:13.453215,11
Grace,2025-04-04 16:45:13.453215,2025-04-03 16:45:13.453215,very low,5 pending subtasks,medium,3,2025-04-01 16:45:13.453215,3
Heidi,2025-05-01 16:45:13.453215,2025-04-30 16:45:13.453215,medium,4 pending subtasks,very low,5,2025-04-26 16:45:13.453215,19
Charlie,2025-04-18 16:45:13.453215,2025-04-17 16:45:13.453215,medium,5 pending subtasks,very low,4,2025-04-14 16:45:13.453215,4
David,2025-05-11 16:45:13.453215,2025-05-11 16:45:13.453215,very low,1 pending subtasks,very low,8,2025-05-03 16:45:13.453215,8
Alice,2025-05-06 16:45:13.453215,2025-05-05 16:45:13.453215,high,2 pending subtasks,low,10,2025-04-26 16:45:13.453215,2
Grace,2025-05-08 16:45:13.453215,2025-05-06 16:45:13.453215,low,3 pending subtasks,high,12,2025-04-26 16:45:13.453215,9
Bob,2025-05-01 16:45:13.453215,2025-05-01 16:45:13.453215,very low,1 pending subtasks,very high,8,2025-04-23 16:45:13.453215,6
David,2025-05-10 16:45:13.453215,2025-05-10 16:45:13.453215,very low,1 pending subtasks,high,2,2025-05-08 16:45:13.453215,15
Eve,2025-05-12 16:45:13.453215,2025-05-12 16:45:13.453215,medium,1 pending subtasks,medium,5,2025-05-07 16:45:13.453215,18
Heidi,2025-05-24 16:45:13.454215,2025-05-21 16:45:13.454215,low,5 pending subtasks,medium,13,2025-05-11 16:45:13.454215,10
David,2025-04-11 16:45:13.454215,2025-04-10 16:45:13.454215,very high,2 pending subtasks,high,11,2025-03-31 16:45:13.454215,18
David,2025-04-06 16:45:13.454215,2025-04-04 16:45:13.454215,high,2 pending subtasks,very low,11,2025-03-26 16:45:13.454215,18
Frank,2025-04-01 16:45:13.454215,2025-04-01 16:45:13.454215,very low,1 pending subtasks,medium,9,2025-03-23 16:45:13.454215,13
Eve,2025-04-27 16:45:13.454215,2025-04-25 16:45:13.454215,very high,4 pending subtasks,low,7,2025-04-20 16:45:13.454215,16
Alice,2025-05-08 16:45:13.454215,2025-05-10 16:45:13.454215,low,1 pending subtasks,medium,11,2025-04-27 16:45:13.454215,2
David,2025-03-28 16:45:13.454215,2025-03-29 16:45:13.454215,very high,3 pending subtasks,high,8,2025-03-20 16:45:13.454215,15
Bob,2025-05-17 16:45:13.454215,2025-05-17 16:45:13.454215,very high,4 pending subtasks,low,8,2025-05-09 16:45:13.454215,3
Alice,2025-05-17 16:45:13.454215,2025-05-16 16:45:13.454215,low,3 pending subtasks,low,8,2025-05-09 16:45:13.454215,9
Frank,2025-04-21 16:45:13.454215,2025-04-21 16:45:13.454215,high,3 pending subtasks,medium,3,2025-04-18 16:45:13.454215,15
Eve,2025-04-14 16:45:13.454215,2025-04-13 16:45:13.454215,low,5 pending subtasks,low,3,2025-04-11 16:45:13.454215,4
Charlie,2025-04-29 16:45:13.454215,2025-04-26 16:45:13.454215,high,3 pending subtasks,high,13,2025-04-16 16:45:13.454215,14
Bob,2025-04-13 16:45:13.454215,2025-04-13 16:45:13.454215,low,3 pending subtasks,high,2,2025-04-11 16:45:13.454215,15
Eve,2025-03-19 16:45:13.454215,2025-03-19 16:45:13.454215,very low,3 pending subtasks,low,3,2025-03-16 16:45:13.454215,20
Alice,2025-04-29 16:45:13.454215,2025-04-28 16:45:13.454215,medium,1 pending subtasks,low,5,2025-04-24 16:45:13.454215,8
Frank,2025-05-10 16:45:13.454215,2025-05-09 16:45:13.454215,very low,3 pending subtasks,medium,2,2025-05-08 16:45:13.454215,6
Alice,2025-04-25 16:45:13.454215,2025-04-26 16:45:13.454215,high,5 pending subtasks,very high,10,2025-04-15 16:45:13.454215,8
Bob,2025-04-26 16:45:13.454215,2025-04-25 16:45:13.454215,low,1 pending subtasks,very low,5,2025-04-21 16:45:13.454215,2
David,2025-05-08 16:45:13.454215,2025-05-07 16:45:13.454215,high,1 pending subtasks,medium,1,2025-05-07 16:45:13.454215,19
Eve,2025-05-17 16:45:13.454215,2025-05-18 16:45:13.454215,very low,1 pending subtasks,very low,9,2025-05-08 16:45:13.454215,7
Heidi,2025-05-11 16:45:13.454215,2025-05-12 16:45:13.454215,very low,1 pending subtasks,medium,10,2025-05-01 16:45:13.454215,2
Heidi,2025-03-30 16:45:13.454215,2025-03-29 16:45:13.454215,very high,4 pending subtasks,high,2,2025-03-28 16:45:13.454215,16
Alice,2025-04-08 16:45:13.454215,2025-04-07 16:45:13.454215,high,3 pending subtasks,low,14,2025-03-25 16:45:13.454215,7
Charlie,2025-04-30 16:45:13.454215,2025-04-28 16:45:13.454215,high,1 pending subtasks,low,13,2025-04-17 16:45:13.454215,20
David,2025-04-25 16:45:13.454215,2025-04-25 16:45:13.454215,high,5 pending subtasks,high,9,2025-04-16 16:45:13.454215,16
Alice,2025-04-26 16:45:13.454215,2025-04-24 16:45:13.454215,high,4 pending subtasks,low,9,2025-04-17 16:45:13.454215,7
David,2025-04-05 16:45:13.454215,2025-04-05 16:45:13.454215,very high,4 pending subtasks,very low,9,2025-03-27 16:45:13.454215,12
Heidi,2025-04-29 16:45:13.454215,2025-04-29 16:45:13.454215,high,5 pending subtasks,medium,8,2025-04-21 16:45:13.454215,17
Frank,2025-04-24 16:45:13.454215,2025-04-23 16:45:13.454215,low,3 pending subtasks,very low,11,2025-04-13 16:45:13.454215,20
David,2025-04-08 16:45:13.454215,2025-04-05 16:45:13.454215,medium,4 pending subtasks,very low,13,2025-03-26 16:45:13.454215,17
Frank,2025-05-06 16:45:13.454215,2025-05-07 16:45:13.454215,low,1 pending subtasks,low,10,2025-04-26 16:45:13.454215,8
David,2025-04-08 16:45:13.454215,2025-04-07 16:45:13.454215,very low,5 pending subtasks,low,1,2025-04-07 16:45:13.454215,13
Frank,2025-05-06 16:45:13.454215,2025-05-06 16:45:13.454215,low,2 pending subtasks,low,1,2025-05-05 16:45:13.454215,19
Frank,2025-04-21 16:45:13.454215,2025-04-22 16:45:13.454215,medium,1 pending subtasks,very high,13,2025-04-08 16:45:13.454215,12
Charlie,2025-03-30 16:45:13.454215,2025-03-30 16:45:13.454215,low,5 pending subtasks,high,8,2025-03-22 16:45:13.454215,10
Charlie,2025-05-05 16:45:13.454215,2025-05-04 16:45:13.454215,very low,2 pending subtasks,very low,14,2025-04-21 16:45:13.454215,20
David,2025-04-29 16:45:13.454215,2025-04-26 16:45:13.454215,high,3 pending subtasks,very low,12,2025-04-17 16:45:13.454215,20
David,2025-05-04 16:45:13.454215,2025-05-05 16:45:13.454215,medium,3 pending subtasks,low,14,2025-04-20 16:45:13.454215,2
Alice,2025-04-21 16:45:13.455214,2025-04-20 16:45:13.455214,low,5 pending subtasks,very low,2,2025-04-19 16:45:13.455214,12
Bob,2025-04-08 16:45:13.455214,2025-04-07 16:45:13.455214,high,1 pending subtasks,very high,10,2025-03-29 16:45:13.455214,11
Eve,2025-05-10 16:45:13.455214,2025-05-09 16:45:13.455214,low,4 pending subtasks,high,11,2025-04-29 16:45:13.455214,11
Charlie,2025-03-21 16:45:13.455214,2025-03-21 16:45:13.455214,very high,3 pending subtasks,very high,3,2025-03-18 16:45:13.455214,8
Charlie,2025-05-09 16:45:13.455214,2025-05-08 16:45:13.455214,medium,2 pending subtasks,low,3,2025-05-06 16:45:13.455214,1
Grace,2025-04-03 16:45:13.455214,2025-04-03 16:45:13.455214,very high,2 pending subtasks,very low,7,2025-03-27 16:45:13.455214,20
Frank,2025-04-08 16:45:13.455214,2025-04-09 16:45:13.455214,very high,5 pending subtasks,low,11,2025-03-28 16:45:13.455214,4
Heidi,2025-04-08 16:45:13.455214,2025-04-06 16:45:13.455214,very low,3 pending subtasks,low,12,2025-03-27 16:45:13.455214,11
Charlie,2025-03-31 16:45:13.455214,2025-03-31 16:45:13.455214,very low,4 pending subtasks,medium,2,2025-03-29 16:45:13.455214,1
Eve,2025-03-22 16:45:13.455214,2025-03-21 16:45:13.455214,very low,3 pending subtasks,medium,6,2025-03-16 16:45:13.455214,4
Alice,2025-04-11 16:45:13.455214,2025-04-10 16:45:13.455214,high,2 pending subtasks,high,3,2025-04-08 16:45:13.455214,14
Heidi,2025-05-07 16:45:13.455214,2025-05-08 16:45:13.455214,medium,4 pending subtasks,very high,9,2025-04-28 16:45:13.455214,4
Heidi,2025-03-24 16:45:13.455214,2025-03-24 16:45:13.455214,very high,2 pending subtasks,low,5,2025-03-19 16:45:13.455214,15
Bob,2025-04-25 16:45:13.455214,2025-04-26 16:45:13.455214,very low,1 pending subtasks,medium,10,2025-04-15 16:45:13.455214,11
Eve,2025-04-13 16:45:13.455214,2025-04-14 16:45:13.455214,very low,2 pending subtasks,medium,9,2025-04-04 16:45:13.455214,13
Charlie,2025-05-03 16:45:13.455214,2025-05-03 16:45:13.455214,very high,3 pending subtasks,very low,7,2025-04-26 16:45:13.455214,20
Heidi,2025-05-01 16:45:13.455214,2025-05-01 16:45:13.455214,high,5 pending subtasks,low,10,2025-04-21 16:45:13.455214,14
Charlie,2025-04-08 16:45:13.455214,2025-04-06 16:45:13.455214,medium,2 pending subtasks,low,9,2025-03-30 16:45:13.455214,14
Eve,2025-05-09 16:45:13.455214,2025-05-09 16:45:13.455214,medium,1 pending subtasks,low,13,2025-04-26 16:45:13.455214,2
Grace,2025-05-02 16:45:13.455214,2025-05-02 16:45:13.455214,high,1 pending subtasks,low,9,2025-04-23 16:45:13.455214,12
Alice,2025-05-19 16:45:13.455214,2025-05-18 16:45:13.455214,medium,4 pending subtasks,very high,10,2025-05-09 16:45:13.455214,7
Bob,2025-05-19 16:45:13.455214,2025-05-17 16:45:13.455214,low,1 pending subtasks,medium,9,2025-05-10 16:45:13.455214,16
Bob,2025-03-31 16:45:13.455214,2025-03-30 16:45:13.455214,high,4 pending subtasks,high,2,2025-03-29 16:45:13.455214,9
Bob,2025-03-31 16:45:13.455214,2025-03-31 16:45:13.455214,high,3 pending subtasks,low,4,2025-03-27 16:45:13.455214,13
Frank,2025-04-02 16:45:13.455214,2025-04-01 16:45:13.455214,very low,4 pending subtasks,medium,6,2025-03-27 16:45:13.455214,15
Eve,2025-04-17 16:45:13.455214,2025-04-16 16:45:13.455214,medium,1 pending subtasks,very high,8,2025-04-09 16:45:13.455214,5
Bob,2025-04-04 16:45:13.455214,2025-04-03 16:45:13.455214,medium,4 pending subtasks,very high,1,2025-04-03 16:45:13.455214,19
David,2025-04-02 16:45:13.455214,2025-04-02 16:45:13.455214,high,4 pending subtasks,very high,3,2025-03-30 16:45:13.455214,18
Heidi,2025-04-10 16:45:13.455214,2025-04-10 16:45:13.455214,low,3 pending subtasks,high,9,2025-04-01 16:45:13.455214,3
Grace,2025-04-12 16:45:13.455214,2025-04-12 16:45:13.455214,very low,5 pending subtasks,very high,6,2025-04-06 16:45:13.455214,17
Charlie,2025-04-01 16:45:13.455214,2025-03-30 16:45:13.455214,high,2 pending subtasks,low,10,2025-03-22 16:45:13.455214,7
David,2025-04-20 16:45:13.455214,2025-04-18 16:45:13.455214,high,4 pending subtasks,very low,11,2025-04-09 16:45:13.455214,7
